PID,Name,Title,Journal,JournalISSN,JournalEISSN,Year,ContentType,PublicationSubtype,Status,ISI,ScopusId,FridaLevel,nsd,FullTextLink,FreeFulltext,doaj
487944,"Pfändtner, Willy [shwypr06] (Södertörns högskola [481], Institutionen för genus, kultur och historia [488], Religionsvetenskap [7485])",A Postcolonial Philosophy of Religion and Interreligious Polylogue,Approaching Religion,1799-3121,1799-3121,2011,Övrigt vetenskapligt,NA,published,NA,NA,0,TRUE,NA,NA,TRUE
482950,"Bouzarovski, Stefan;Salukvadze, Joseph;Gentile, Michael [shmlge07] [0000-0001-5224-788X] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [493], SCOHOST (Stockholm Centre on Health of Societies in Transition) [7504])",A Socially Resilient Urban Transition? : The Contested Landscapes of Apartment Building Extensions in Two Post-communist Cities,Urban Studies,0042-0980,1360-063X,2011,Refereegranskat,NA,published,000294812900001,2-s2.0-80052666643,2,TRUE,NA,NA,FALSE
577212,"Figueroa, Ricardo [shrofs03] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Molekylärbiologi [7472]) (Karloinska institutet);Gudise, Santhosh [shsrge07] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Molekylärbiologi [7472]) (Karolinska institutet);Larsson, Veronica (Karloinska institutet);Hallberg, Einar [SHERHG] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Molekylärbiologi [7472])",A transmembrane inner nuclear membrane protein in the mitotic spindle,Nucleus,1949-1042,0,2010,Refereegranskat,NA,published,000208668400006,2-s2.0-77957681891,0,FALSE,NA,TRUE,FALSE
462173,"Lagerkvist, Amanda [shaalt10] (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], Medie- och kommunikationsvetenskap [498])",A Virtual America : Americans and 'American' Spaces in New Shanghai,American Studies in Scandinavia,0044-8060,0,2010,Refereegranskat,NA,published,000284295200006,2-s2.0-78649839458,1,TRUE,NA,NA,FALSE
458096,"Jukkala, Tanya [shtaja06] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [493], SCOHOST (Stockholm Centre on Health of Societies in Transition) [7504]) (Södertörns högskola [481], Institutionen för samhällsvetenskaper [493], Sociologi [7508]);Mäkinen, Ilkka Henrik [SHIAMN] [0000-0003-0010-7863] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [493], SCOHOST (Stockholm Centre on Health of Societies in Transition) [7504]) (Södertörns högskola [481], Institutionen för samhällsvetenskaper [493], Sociologi [7508])",Acceptance of suicide in Moscow,Social Psychiatry and Psychiatric Epidemiology,0933-7954,1433-9285,2011,Refereegranskat,NA,published,000292700700010,2-s2.0-80051791575,1,TRUE,NA,NA,FALSE
395234,"Hassler, Björn [shbnhr] [0000-0001-5040-4917] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Miljövetenskap [7470])",Accidental Versus Operational Oil Spills from Shipping in the Baltic Sea : Risk Governance and Management Strategies,Ambio,0044-7447,1654-7209,2011,Refereegranskat,NA,published,000286933300007,2-s2.0-79951736928,1,TRUE,NA,TRUE,FALSE
462047,"Eriksson, Sofia [shsaen03] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Miljövetenskap [7470]) (Stockholm University);Skånes, Helle (Stockholm University)",Addressing semantics and historical data heterogeneities in ross-temporal landscape analyses,"Agriculture, Ecosystems & Environment",0167-8809,1873-2305,2010,Refereegranskat,NA,published,000287277100009,2-s2.0-78650747269,1,TRUE,NA,NA,FALSE
456518,"Tigervall, Carina;Hübinette, Tobias [shtshe08] (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], Pedagogik [7479])",Adoption with complications : Conversations with adoptees and adoptive parents on everyday racism and ethnic identity,International Social Work,0020-8728,1461-7234,2010,Refereegranskat,NA,published,000279554800004,2-s2.0-77954274523,2,TRUE,NA,NA,FALSE
511346,"Wallenstein, Sven-Olov [shsvwn02] [0000-0002-6968-3693] (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], Filosofi [7384])",Adorno and the Problem of Late Style,Site,1650-7894,0,2012,"Övrig (populärvetenskap, debatt, mm)",NA,published,NA,NA,0,FALSE,NA,NA,FALSE
559047,"Wallenstein, Sven-Olov [shsvwn02] [0000-0002-6968-3693] (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], Filosofi [7384])",Adorno och gåtan,Glänta,1104-5205,0,2012,Övrigt vetenskapligt,NA,published,NA,NA,0,TRUE,NA,NA,FALSE
458094,"Stickley, Andrew [SH99AWSY] [0000-0002-1260-2223] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [493], SCOHOST (Stockholm Centre on Health of Societies in Transition) [7504]);Jukkala, Tanya [shtaja06] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [493], SCOHOST (Stockholm Centre on Health of Societies in Transition) [7504]) (Södertörns högskola [481], Institutionen för samhällsvetenskaper [493], Sociologi [7508]);Norström, Thor","Alcohol and Suicide in Russia, 1870-1894 and 1956-2005 : Evidence for the Continuation of a Harmful Drinking Culture Across Time?",Journal of Studies on Alcohol and Drugs,1937-1888,1938-4114,2011,Refereegranskat,NA,published,000288570800018,2-s2.0-79952935274,1,TRUE,NA,NA,FALSE
511520,"Wallenstein, Sven-Olov [shsvwn02] [0000-0002-6968-3693] (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], Filosofi [7384])",Alexander Gottlieb Baumgarten,Paletten,0031-0352,0,2011,"Övrig (populärvetenskap, debatt, mm)",NA,published,NA,NA,0,FALSE,NA,NA,FALSE
466606,"Lagerkvist, Amanda [shaalt10] (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], Medie- och kommunikationsvetenskap [498])",American Spaces-Editor's Note,American Studies in Scandinavia,0044-8060,0,2010,Refereegranskat,editorialMaterial,published,000284295200001,2-s2.0-78649889644,1,TRUE,NA,NA,FALSE
417754,"Lindén, Claudia [shcaln03] (Södertörns högskola [481], Institutionen för genus, kultur och historia [488], Litteraturvetenskap [7460])",Amieté sincère : En motberättelse och om kärlek mellan kvinnor. En läsning av Karen Blixens “The Roads Round Pisa”,Tidskrift för litteraturvetenskap,1104-0556,2001-094X,2010,Refereegranskat,NA,published,NA,NA,1,TRUE,NA,NA,FALSE
570588,"Sjöholm, Cecilia [SHCASM] [0000-0002-5333-4317] (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], Estetik [7378])",An aesthetics of “realness” : Arendt on the work of art,Aesthetic Pathways,2221-0326,0,2012,Refereegranskat,NA,published,NA,NA,0,TRUE,NA,NA,FALSE
687646,"Wåghäll Nivre, Elisabeth [shehwe10] (Södertörns högskola [481], Institutionen för kommunikation, medier och it [3000], Retorik [7490]) (Stockholms universitet)",An Affair of Great Importance : Queen Christina of Sweden (1626–1689),Comunicação e Cultura (Communication and Culture),1646-4877,0,2011,Refereegranskat,NA,published,NA,NA,0,FALSE,NA,TRUE,FALSE
551432,"Normak, Peeter (Tallinn University, Dept. of Informatics);Pata, Kai (Tallinn University, Dept. of Informatics);Kaipainen, Mauri [shmikn08] [0000-0002-2531-0860] (Södertörns högskola [481], Institutionen för kommunikation, medier och it [3000], Medieteknik [7468])",An Ecological Approach to Learning Dynamics,Journal of Educational Technology & Society,1176-3647,1436-4522,2012,Refereegranskat,NA,published,000308548900020,2-s2.0-84873808312,0,TRUE,http://sh.diva-portal.org/smash/get/diva2:551432/FULLTEXT02.pdf,NA,TRUE
582207,"Lankoski, Petri [shpili11] [0000-0002-5247-6807] (Södertörns högskola [481], Institutionen för kommunikation, medier och it [3000], Medieteknik [7468]);Järvelä, Simo (CKIR)",An Embodied Cognition Approach for Understanding Role-playing,International Journal of Role-playing,2210-4909,0,2012,Refereegranskat,NA,published,NA,NA,0,FALSE,http://sh.diva-portal.org/smash/get/diva2:582207/FULLTEXT01.pdf,TRUE,FALSE
773322,"Friberg, Katarina [shkafg07] [0000-0003-0653-2828] (Södertörns högskola [481], Institutionen för genus, kultur och historia [488], Samtidshistoriska institutet [497])",Anders Örne : teoretiker och jordnära kooperatör i det internationella rampljuset,Personhistorisk Tidskrift,0031-5699,0,2010,Refereegranskat,NA,published,NA,NA,1,TRUE,NA,NA,FALSE
454167,"Stiernstedt, Fredrik [shfkst04] [0000-0002-5247-8212] (Södertörns högskola [481], Centrum för Östersjö- och Östeuropaforskning (CBEES) [496], Baltic & East European Graduate School (BEEGS) [483]) (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], Medie- och kommunikationsvetenskap [498])","Announcing in multiplatform broadcasting : self-referentiality, buzz and eventfulness in a commercial music format",Radio-Leituras,2179-6033,0,2010,Refereegranskat,NA,published,NA,NA,0,FALSE,NA,NA,FALSE
446313,"Wennerhag, Magnus [shmswg08] [0000-0002-3886-0298] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [493], Sociologi [7508])",Another Modernity is Possible? : The Global Justice Movement and the Transformations of Politics,Distinktion  Scandinavian Journal of Social Theory,1600-910X,2159-9149,2010,Refereegranskat,NA,published,NA,NA,1,TRUE,http://sh.diva-portal.org/smash/get/diva2:446313/FULLTEXT02.pdf,NA,FALSE
454710,"Olsson, Susanne [shseon02] (Södertörns högskola [481], Institutionen för genus, kultur och historia [488], Religionsvetenskap [7485]);Sorgenfrei, Simon [shsnsi08] [0000-0002-2206-238X]",Ansvaret kan inte lyftas från individen,Svenska dagbladet,1101-2412,0,2011,"Övrig (populärvetenskap, debatt, mm)",NA,published,NA,NA,0,FALSE,NA,NA,FALSE
417624,"Hallgren, Stefan [shsnhn02] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Miljövetenskap [7470]) (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Biologi [7362]);Volkova, Kristina [shkava06] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Miljövetenskap [7470]);Reyhanian, Nasim [shnmrn07] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Miljövetenskap [7470]);Olsén, K Håkan [SHHNON] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Miljövetenskap [7470]) (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Biologi [7362]);Porsch Hällström, Inger [shirpm] [0000-0001-9498-3033] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Miljövetenskap [7470])",Anxiogenic behaviour induced by 17α-ethynylestradiol in male guppies (<em>Poecilia reticulata</em>),Fish Physiology & Biochemistry,0920-1742,1573-5168,2011,Refereegranskat,NA,published,000296646800018,2-s2.0-80355132249,1,TRUE,NA,NA,FALSE
757001,"Sorgenfrei, Simon [shsnsi08] [0000-0002-2206-238X] (Södertörns högskola [481], Institutionen för genus, kultur och historia [488], Religionsvetenskap [7485]);Olsson, Susanne [shseon02] (Södertörns högskola [481], Institutionen för genus, kultur och historia [488], Religionsvetenskap [7485])",Arabisk vår eller vinter?,Fria Tidningen,1654-9449,0,2011,"Övrig (populärvetenskap, debatt, mm)",NA,published,NA,NA,0,FALSE,NA,NA,FALSE
483014,"Nilsson, Björn [shbnnn08] (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], Arkeologi [485]) (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], MARIS (Marinarkeologiska forskningsinstitutet) [7462])",Archaeology and the unstoppable excavation machine : a Swedish point of view,Archaeological Dialogues,1380-2038,1478-2294,2011,Refereegranskat,NA,published,000290098100005,2-s2.0-79956140272,2,TRUE,NA,NA,FALSE
443285,"Wolrath Söderberg, Maria [SHMAWG] [0000-0003-3313-4403] (Södertörns högskola [481], Institutionen för kommunikation, medier och it [3000], Retorik [7490])",Aristoteles enthymem : slutledningsformer eller meningsskapande processer?,Rhetorica Scandinavica,1397-0534,0,2010,Refereegranskat,NA,published,NA,NA,1,TRUE,NA,NA,FALSE
460190,"Almgren, Birgitta [SHBAAN] (Södertörns högskola [481], Centrum för Östersjö- och Östeuropaforskning (CBEES) [496], Enheten för Tysklandsstudier [482])",Arkiven lär oss att avslöja terrorister,Expressen,1103-923X,0,2011,"Övrig (populärvetenskap, debatt, mm)",NA,published,NA,NA,0,FALSE,NA,NA,FALSE
602527,"Nordström, Anders [shasnm02] [0000-0003-3676-817X] (Södertörns högskola [481], Centrum för Östersjö- och Östeuropaforskning (CBEES) [496])",Armenian parliametary elections 2012 : an extremely well scrutinized operation,Baltic Worlds,2000-2955,0,2012,"Övrig (populärvetenskap, debatt, mm)",NA,published,NA,NA,1,TRUE,NA,NA,TRUE
845233,"Laakkonen, Simo [shsoln11] [0000-0003-0126-1838] (Södertörns högskola [481], Institutionen för genus, kultur och historia [488], Historia [7402])",Asphalt kids and the matrix city : Reminiscences of childrens' urban environmental history,Urban History,0963-9268,1469-8706,2011,Refereegranskat,NA,published,NA,NA,2,TRUE,NA,NA,FALSE
400672,"Andersson, Hans [shhsan06] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [493], Statsvetenskap [7516]);Nilsson, Susanna",Asylum Seekers and Undocumented Migrants’ Increased Social Rights in Sweden,International migration (Geneva. Print),0020-7985,1468-2435,2011,Refereegranskat,NA,published,000292337000008,2-s2.0-79959999389,1,TRUE,NA,NA,FALSE
478543,"Ekdahl, Lars [shlsel] (Södertörns högskola [481], Institutionen för genus, kultur och historia [488], Historia [7402])",At sammentaenkie arbejde og samfund : nyt perspektiv på fagbevaegelsens historie,"Arbejderhistorie: tidsskrift for historie, kultur og politik",0107-8461,0,2011,Refereegranskat,NA,published,NA,NA,1,TRUE,NA,NA,FALSE
457534,"Hübinette, Tobias [shtshe08] (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], Pedagogik [7479])",Att bli den Andre,Fjärde världen,0282-258X,0,2011,"Övrig (populärvetenskap, debatt, mm)",NA,published,NA,NA,0,FALSE,NA,NA,FALSE
604119,"Wadstein MacLeod, Katarina [shkawd09] [0000-0001-7933-246X] (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], Konstvetenskap [7456])",Att måla med det vita bläcket<em></em> : Monica Sjöö och <em>Kosmos inom hennes livmoder</em>,Tidskrift för Genusvetenskap,1654-5443,2001-1377,2012,Refereegranskat,NA,published,NA,NA,1,TRUE,NA,NA,FALSE
491689,"Tomson, Klara [shkatn03] (Södertörns högskola [481], Institutionen för ekonomi och företagande [491], Företagsekonomi [7389])",Att skapa en upplevelseindustri,Nordisk kulturpolitisk tidskrift,1403-3216,2000-8325,2011,Refereegranskat,NA,published,NA,NA,0,TRUE,NA,NA,FALSE
431712,"Nylund Skog, Susanne [shseng09] (Södertörns högskola [481], Institutionen för genus, kultur och historia [488], Etnologi [7381])",Att skriva från döden : Känsla och kön i en berättelse om Förintelsen,Nätverket Kulturforskning i Uppsala,1651-0593,1651-0593,2010,Övrigt vetenskapligt,NA,published,NA,NA,0,TRUE,NA,NA,FALSE
451128,"Hernwall, Patrik [shpkhl04] (Södertörns högskola [481], Institutionen för kommunikation, medier och it [3000], Medieteknik [7468])",Att ta i anspråk det okända : mot en flexibel digital grammatik,Utbildning & Lärande,1653-0594,0,2010,Refereegranskat,NA,published,NA,NA,0,TRUE,NA,NA,FALSE
481768,"Hübinette, Tobias [shtshe08] (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], Pedagogik [7479])",Att överskrida ras : en introduktion till begreppet transrasialitet speglad genom transrasiala erfarenheter och fantasier,"Kvinder, Køn og Forskning",0907-6182,2245-6937,2011,Refereegranskat,NA,published,NA,NA,1,TRUE,NA,NA,FALSE
564472,"Lipsicas, Cendrine Bursztein;Mäkinen, Ilkka Henrik [SHIAMN] [0000-0003-0010-7863] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [493], Sociologi [7508]) (Södertörns högskola [481], Institutionen för samhällsvetenskaper [493], SCOHOST (Stockholm Centre on Health of Societies in Transition) [7504]);Apter, Alan;De Leo, Diego;Kerkhof, Ad;Lönnqvist, Jouko;Michel, Konrad;Renberg, Ellinor Salander;Sayil, Isik;Schmidtke, Armin;van Heeringen, Cornelis;Vaernik, Airi;Wasserman, Danuta",Attempted suicide among immigrants in European countries : an international perspective,Social Psychiatry and Psychiatric Epidemiology,0933-7954,1433-9285,2012,Refereegranskat,NA,published,000299174500008,2-s2.0-84857060602,1,TRUE,NA,NA,FALSE
599774,"Lönnborg, Mikael [shmllg] [0000-0002-9781-8276] (Södertörns högskola [481], Institutionen för ekonomi och företagande [491], Företagsekonomi [7389]) (Södertörns högskola [481], Institutionen för ekonomi och företagande [491], ENTER forum [7375])",August Strindberg och försäkringsmarknaden,Nordisk Försäkringstidskrift,2001-1741,0,2012,Övrigt vetenskapligt,NA,published,NA,NA,0,FALSE,NA,NA,FALSE
458000,"Baburin, Aleksei (National Institute for Health Development, Tallinn, Estonia / University of Tampere, Tampere, Finland);Lai, Taavi (University of Tartu, Tartu, Estonia);Leinsalu, Mall [SH99MLLU] [0000-0003-4453-4760] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [493], Sociologi [7508]) (Södertörns högskola [481], Institutionen för samhällsvetenskaper [493], SCOHOST (Stockholm Centre on Health of Societies in Transition) [7504]) (Centre for Health Equity Studies, Stockholm University/Karolinska Institutet)",Avoidable mortality in Estonia : Exploring the differences in life expectancy between Estonians and non-Estonians in 2005-2007.,Public Health,0033-3506,1476-5616,2011,Refereegranskat,NA,published,000297154200003,2-s2.0-81255135996,1,TRUE,NA,NA,FALSE
462139,"Granhall, Ulf;Welsh, Allana;Throbäck, Ingela Noredal;Hjort, Karin [shknht09] (Södertörns högskola [481], Institutionen för livsvetenskaper [486], Molekylärbiologi [7472]);Hansson, Mikael;Hallin, Sara",Bacterial community diversity in paper mills processing recycled paper,Journal of Industrial Microbiology & Biotechnology,1367-5435,1476-5535,2010,Refereegranskat,NA,published,000282053000006,2-s2.0-78149361388,1,TRUE,NA,NA,FALSE
445443,"Lönnborg, Mikael [shmllg] [0000-0002-9781-8276] (Södertörns högskola [481], Institutionen för ekonomi och företagande [491], Företagsekonomi [7389]) (Södertörns högskola [481], Institutionen för ekonomi och företagande [491], ENTER forum [7375]);Ögren, Anders (Handelshögskolan i Stockholm);Rafferty, Michael (Sydney University)",Banks and Swedish financial crises in the 1920s and 1930s,Business History,0007-6791,1743-7938,2011,Refereegranskat,NA,published,000289566400004,2-s2.0-79956138058,1,TRUE,NA,NA,FALSE
447550,"Andersson, Christoph [shchan03] (Södertörns högskola [481], Institutionen för kommunikation, medier och it [3000], Journalistik [7407])",Bara ett sätt att slippa syndromet,Sydsvenskan,1652-814X,0,2010,"Övrig (populärvetenskap, debatt, mm)",NA,published,NA,NA,0,FALSE,NA,NA,FALSE
437132,"Brumark, Åsa [SHAABK] (Södertörns högskola [481], Institutionen för kommunikation, medier och it [3000], Svenska [7520])",Behaviour regulation at the family dinner table : The use of and response to direct and indirect behaviour regulation in ten Swedish families,Journal of Child Language,0305-0009,1469-7602,2010,Refereegranskat,NA,published,000283629600005,2-s2.0-78650171497,2,TRUE,NA,NA,FALSE
441997,"Alsterdal, Lotte [shleal06] (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], Centrum för praktisk kunskap [5550])",Berättelser som grund för reflektion,Tidningen äldreomsorg,1403-7025,0,2010,"Övrig (populärvetenskap, debatt, mm)",NA,published,NA,NA,0,FALSE,NA,NA,FALSE
475819,"Eriksson, Niklas [shnsen10] [0000-0002-3024-8192] (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], Arkeologi [485]) (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], MARIS (Marinarkeologiska forskningsinstitutet) [7462])",Between Clinker and Carvel : Aspects of hulls built with mixed planking in Scandinavia between 1550 and 1990,Archaeologia Baltica,1392-5520,2351-6534,2010,Refereegranskat,NA,published,NA,2-s2.0-84907389087,1,TRUE,http://sh.diva-portal.org/smash/get/diva2:475819/FULLTEXT03.pdf,TRUE,FALSE
571577,"Hübinette, Tobias [shtshe08] (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], Pedagogik [7479]);Andersson, Malinda",Between colourblindness and ethnicisation : Transnational adoptees and race in a Swedish context,Adoption & Fostering: The Quarterly Journal of British Agencies for Adoption & Fostering,0308-5759,1740-469X,2012,Refereegranskat,NA,published,NA,2-s2.0-84938502569,1,TRUE,NA,NA,FALSE
486182,"Edquist, Samuel [shslet04] [0000-0002-8287-0426] (Södertörns högskola [481], Institutionen för genus, kultur och historia [488], Samtidshistoriska institutet [497])","Bilar, herrgårdar och krig : vilken historia förmedlas i populärhistoriska tidskrifter?",Historisk Tidskrift (S),0345-469X,0,2011,Övrigt vetenskapligt,NA,published,NA,NA,1,TRUE,NA,TRUE,FALSE
437930,"Bohlin, Henrik [SHHKBN] [0000-0002-2782-4371] (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], Idéhistoria [7356])",Bildning – en väg till global medkänsla,Svenska Dagbladet,1101-2412,0,2010,"Övrig (populärvetenskap, debatt, mm)",NA,published,NA,NA,0,FALSE,NA,NA,FALSE
1074948,"Skoglund, Crister [shcrsd] (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], Idéhistoria [7356])",Bildning och skötsamma arbetare,Svensk linje,0346-2161,0,2012,"Övrig (populärvetenskap, debatt, mm)",NA,published,NA,NA,0,FALSE,http://sh.diva-portal.org/smash/get/diva2:1074948/FULLTEXT01.pdf,TRUE,FALSE
473147,"Ohlsson, Andreas;Lindström, Jens;Rönnby, Johan [shjnry] [0000-0002-5442-1981] (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], MARIS (Marinarkeologiska forskningsinstitutet) [7462]) (Södertörns högskola [481], Institutionen för kultur och kommunikation [489], Arkeologi [485])",Birka under vatten,Populär Arkeologi,0281-014x,0,2011,"Övrig (populärvetenskap, debatt, mm)",NA,published,NA,NA,0,FALSE,NA,NA,FALSE
740616,"Dahl, Ulrika [shuadl04] [0000-0001-8774-0586] (Södertörns högskola [481], Institutionen för genus, kultur och historia [488], Genusvetenskap [7393])",Blonde on Blonde,Ottar,0030-6703,0,2012,"Övrig (populärvetenskap, debatt, mm)",NA,published,NA,NA,0,TRUE,NA,TRUE,FALSE
